"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Eritrea","ERI","Net migration","SM.POP.NETM","","","6997","","","","","4999","","","","","10000","","","","","10000","","","","","10000","","","","","-40000","","","","","-400002","","","","","-70000","","","","","110001","","","","","-160001","","","","","-160001","","","","",
"Spain","ESP","Net migration","SM.POP.NETM","","","-193807","","","","","-145936","","","","","96990","","","","","76903","","","","","-43291","","","","","-67671","","","","","319268","","","","","896019","","","","","2829228","","","","","2250005","","","","","-593069","","","","",
"Estonia","EST","Net migration","SM.POP.NETM","","","43228","","","","","41204","","","","","30581","","","","","30510","","","","","25900","","","","","15497","","","","","-111876","","","","","-1197","","","","","-18406","","","","","-15151","","","","","-11850","","","","",
"Ethiopia","ETH","Net migration","SM.POP.NETM","","","-19999","","","","","-42182","","","","","-59597","","","","","-2024797","","","","","250001","","","","","780074","","","","","1445274","","","","","-155577","","","","","-83182","","","","","-50132","","","","","-60001","","","","",
"European Union","EUU","Net migration","SM.POP.NETM","","","1217105","","","","","23657","","","","","2173816","","","","","1548770","","","","","265084","","","","","1796483","","","","","4201189","","","","","2448237","","","","","6933624","","","","","5884417","","","","","2324066","","","","",
"Fragile and conflict affected situations","FCS","Net migration","SM.POP.NETM","","","-118109","","","","","-157483","","","","","-556738","","","","","-100562","","","","","-4786010","","","","","-4143997","","","","","1012375","","","","","-2845812","","","","","-1638769","","","","","-2889159","","","","","-4018991","","","","",
"Finland","FIN","Net migration","SM.POP.NETM","","","-64984","","","","","-97937","","","","","28880","","","","","-29377","","","","","26181","","","","","18268","","","","","47223","","","","","22154","","","","","31935","","","","","71143","","","","","107409","","","","",
"Fiji","FJI","Net migration","SM.POP.NETM","","","2451","","","","","-9567","","","","","-12506","","","","","-20709","","","","","-11628","","","","","-66875","","","","","-35796","","","","","-42260","","","","","-61797","","","","","-28754","","","","","-28720","","","","",
"France","FRA","Net migration","SM.POP.NETM","","","1466682","","","","","416217","","","","","805181","","","","","146855","","","","","268131","","","","","481869","","","","","303416","","","","","188966","","","","","739395","","","","","480787","","","","","331555","","","","",
"Faroe Islands","FRO","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","-7997","","","","","-548","","","","","0","","","","","-2461","","","","","-2234","","","","","-13618","","","","","-12850","","","","","-12132","","","","","-8192","","","","",
"Gabon","GAB","Net migration","SM.POP.NETM","","","9410","","","","","16188","","","","","2999","","","","","4999","","","","","4999","","","","","4999","","","","","4999","","","","","9566","","","","","9566","","","","","9566","","","","","5000","","","","",
"United Kingdom","GBR","Net migration","SM.POP.NETM","","","142563","","","","","-84853","","","","","106415","","","","","39119","","","","","-97495","","","","","98758","","","","","205443","","","","","498998","","","","","968350","","","","","1523939","","","","","900000","","","","",
"Georgia","GEO","Net migration","SM.POP.NETM","","","51113","","","","","24146","","","","","-32156","","","","","-78920","","","","","-18616","","","","","-61577","","","","","-544069","","","","","-390036","","","","","-309021","","","","","-289534","","","","","-296323","","","","",
"Ghana","GHA","Net migration","SM.POP.NETM","","","0","","","","","-361999","","","","","-164002","","","","","-563999","","","","","206001","","","","","-30003","","","","","-16285","","","","","-112636","","","","","165518","","","","","189259","","","","","-49999","","","","",
"Gibraltar","GIB","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
